place_id,type,city,address,latitude,longitude
12a05c0c-31f0-5d9c-9001-d9783275718b,entertainment,چورزق,زنجان,36.9982345,48.7776206
12bdcfbf-fc4d-50e3-9e39-6744db2d629e,entertainment,جم,بوشهر,27.8262811,52.3263597
12ddb675-0b55-53e0-820f-6c6e59094e1f,entertainment,شمس آباد,خوزستان,32.2978523,48.4295553
12fadb48-c060-4171-849b-f6649e08e67a,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، رودکى,38.0592844,46.3686628
13135d2d-a5f7-41bb-98b2-69c286212042,food,بناب,آذربایجان شرقی، بناب، بلوار امام خمینی (ره),37.3494911,46.0568275
131dc400-f03c-4e86-ae6d-67f942957676,food,تبریز,آذربایجان شرقی، تبریز، محله رشدیه، بلوار بهارستان,38.0778388,46.3633041
131eeb4b-9792-47c7-97e1-78167a683533,food,شبستر,آذربایجان شرقی، شبستر، پاسداران، بلوار امام خمینی، خیابان گلشن راز,38.1874389,45.7035026
1350f8df-30cd-498b-8111-640e110e03fb,food,خامنه,آذربایجان شرقی، شبستر,38.1648979,45.7367477
13690556-2712-5577-b055-577a0acac741,entertainment,گلوگاه,مازندران,36.7283914,53.8088538
136b5891-1698-4b5b-979e-5b8c1cb43048,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، گلباد دوم,38.0652084,46.3576087
1385761c-aa89-5987-acaa-e38f62859235,entertainment,داریان,فارس,29.5600604,52.9223294
13b764b3-273c-4ef6-936f-65f160bf5df9,food,مرند,آذربایجان شرقی، مرند، کوچه البرز، میری، خیابان شریعتی شرقی,38.4281349,45.7804718
13ba1727-4d4a-5e50-b115-498690091d82,entertainment,میانکوه,خوزستان,30.7881413,49.7302405
13e397c9-5498-4921-ab6e-4d3006577056,food,ایلخچی,آذربایجان شرقی، اسکو، جاده تبريز - آذرشهر,37.9043701,45.943985
13e6129b-09a7-4993-95e5-9d9a09e92aa2,hospital,تبریز,آذربایجان شرقی، تبریز، محله زعفرانیه، میرزا کوچک خان، صائب تبریزی,38.0465087,46.3377456
