city_id,name_fa,name_en,province_id,latitude,longitude
500,میمه,Meymeh,4,33.4467299,51.1733569
501,مشکان,Meshkan,11,36.5329335,58.1455051
502,میرآباد,Qal`eh-ye Mirabad,22,34.6871,46.2959
503,شروینه,Shervenineh,22,34.828,46.3578
504,نفت شهر,Naft Shahr,22,33.993356,45.497316
505,سرمست,Sarmast,22,34.0266,46.329
506,گهواره,Gahvareh,22,34.344125,46.417181
507,حمیل,Homeyl,22,33.9376399,46.7736717
508,اهلشی,Ahlashi,22,34.1105266,47.0894855
509,کوزران,Kuzaran,22,34.4965,46.599
510,باینگان,Bayangan,22,34.9813,46.2709
511,شیخ صالح,Sheykh Salleh,22,34.9707879,45.9260275
512,هرسین,Harsin,22,34.2691441,47.5834103
513,دینور (میان راهان),Mian Rahan,22,34.5843,47.442
514,املش,Amlash,25,37.1581386,50.2305102
515,سرپل ذهاب,Sarpol-e Zahab,22,34.4607687,45.863763
516,اولتان,Owltan,3,39.6058733,47.7690599
517,ماهیدشت,Mahidasht,22,34.2677638,46.8003223
518,دهسرخ,Dehsorkh,4,32.4102723,51.6674027
519,صادق آباد,Sadeqabad,24,37.3755556,55.6744444
520,القجر,Alqajar,24,37.2119444,55.345
521,فیروزآباد,Firouzabad,3,37.5876447,48.2293142
522,جوشقان قالی,Jowsheqan-e Qali,4,33.5908206,51.212541
523,سیاه بوم,سیاه بوم,4,32.3560329,51.4244541
524,قروق آقا,قروق آقا,4,32.358243,51.4167504
525,اشیان,اشیان,4,32.3547744,51.4122081
526,سورچه پائین,سورچه پائین,4,32.3502465,51.4277427
527,سورچه بالا,سورچه بالا,4,32.3362994,51.4164789
528,رامشه,Ramsheh,4,31.8223604,52.4970566
529,بندر کنگان,Bander Kangan,7,27.8370685,52.06371
530,ینقاق,Yanqaq,24,37.2968779,55.3688389
531,قلعه نو,Ghale Nou,4,33.7052326,51.9777047
532,حلب,Halab,14,36.2952608,48.0595228
533,قهجاورستان,Qahjavarestan,4,32.7040579,51.8330476
534,سین,Sin,4,32.8536719,51.6563384
535,نوده انقلاب,Nowdeh-e-Enghelab,11,36.4653632,57.6401523
536,مهرگان,Mehregan,18,36.2514443,50.1816739
537,ترکالکی,Torkalaki,13,32.2441851,48.8464607
538,دوزین,Dowzeyn,24,37.1252778,55.5777778
539,فرح آباد,Farah Abad,27,36.7906781,53.1110064
