village_id,name_fa,name_en,city_id,latitude,longitude
18289,قشلاق حضرتقلی بختیار,قشلاق حضرتقلی بختیار,662,39.297034,47.8091041
18290,قشلاق سدکندی,قشلاق سدکندی,352,39.308632,48.0167309
18291,تقی کندی,تقی کندی,694,39.2853033,47.5286192
18292,قشلاق تک قویی قره پیران,قشلاق تک قویی قره پیران,662,39.2930248,47.6454766
18293,گون پاپاق,گون پاپاق,238,39.3185721,48.191652
18294,شورقویی,شورقویی,352,39.3122113,47.9984652
18295,قشلاق حاجی الله وردی,قشلاق حاجی الله وردی,352,39.3164072,48.0520327
18296,ایستگاه خواجه نصیر,ایستگاه خواجه نصیر,352,39.3167054,47.9348726
18297,گوگ تپه,گوگ تپه,238,39.335789,48.2292727
18298,حاجی ایمانخان,حاجی ایمانخان,352,39.3273594,47.9293064
18299,قشلاق قنبرلوحاج محمدحسن,قشلاق قنبرلوحاج محمدحسن,694,39.3146751,47.5509617
18300,خورخور علیا,خورخور علیا,352,39.3396526,48.0288404
18301,قشلاق گورچینلوحاج بیوک,قشلاق گورچینلوحاج بیوک,352,39.3301211,47.8284757
18302,قشلاق آغجاران,قشلاق آغجاران,352,39.337225,47.9470543
18303,قشلاق اینالی صمد,قشلاق اینالی صمد,352,39.3372768,47.889028
18304,قشلاق گورچینلوحاج نجف,قشلاق گورچینلوحاج نجف,352,39.3346253,47.8365251
18305,قشلاق گورچنیلواورتاداغ,قشلاق گورچنیلواورتاداغ,352,39.3365752,47.8639773
18306,قشلاق چوخلی قوئی حاج اکبر,قشلاق چوخلی قوئی حاج اکبر,662,39.3293102,47.6892791
18307,خورخور سفلی,خورخور سفلی,352,39.3545614,48.032885
18308,قشلاق تولکیلوتوماق علی گل مراد,قشلاق تولکیلوتوماق علی گل مراد,694,39.3339219,47.591646
18309,حاجی هاوار کندی,حاجی هاوار کندی,352,39.3564579,47.9984819
18310,قشلاق قره ککیل حاجی مطلب,قشلاق قره ککیل حاجی مطلب,352,39.3456527,47.8287433
18311,قشلاق چوخلی قوئی حاج حسن اختری,قشلاق چوخلی قوئی حاج حسن اختری,662,39.3484087,47.6899105
18312,پتلقان,پتلقان,352,39.3689361,48.0508872
18313,ایدر سفلی,ایدر سفلی,694,39.341391,47.4791775
18314,قشلاق اجاق ۲,قشلاق اجاق ۲,694,39.3533097,47.6305237
18315,قشلاق تره چی,قشلاق تره چی,694,39.3534514,47.6067784
18316,قشلاق قهرمان,قشلاق قهرمان,352,39.3759022,48.0275169
18317,قوشاقشلاق منصورورحمان,قوشاقشلاق منصورورحمان,662,39.3623501,47.7211611
18318,قشلاق حاجی پنجالو,قشلاق حاجی پنجالو,694,39.3570108,47.560673
18319,قشلاق جلیل لو,قشلاق جلیل لو,694,39.3611146,47.5869721
18320,سیف خانلو,سیف خانلو,694,39.3558947,47.4665815
18321,حاجی باباخان,حاجی باباخان,352,39.3871794,48.1093276
18322,ولی ممیلو,ولی ممیلو,352,39.3918238,47.9898612
18323,اسم علی کندی ۲,اسم علی کندی ۲,694,39.369289,47.4730018
18324,اسم علی کندی ۱,اسم علی کندی ۱,694,39.3719378,47.4735635
18325,قشلاق فرج اله نماز,قشلاق فرج اله نماز,694,39.379592,47.5989903
18326,بوزچه علیا,بوزچه علیا,694,39.3756468,47.460301
18327,قارشقا تپه سی علیا,قارشقا تپه سی علیا,694,39.380272,47.4691333
18328,قشلاق ایری دره حاج محبت,قشلاق ایری دره حاج محبت,694,39.3849266,47.5469856
18329,قشلاق موزوهلر,قشلاق موزوهلر,694,39.3854372,47.5712701
18330,قشلاق فرج اله قدیر,قشلاق فرج اله قدیر,694,39.386877,47.6027498
18331,قشلاق فرج اله حاج سارخان,قشلاق فرج اله حاج سارخان,694,39.388464,47.5820366
18332,قشلاق صفرعلی غیب علی,قشلاق صفرعلی غیب علی,516,39.4001772,47.8169963
18333,الم لو تبریز,الم لو تبریز,694,39.390579,47.6265396
18334,قشلاق نریمان امیراصلان,قشلاق نریمان امیراصلان,352,39.4117135,48.0354656
18335,قشلاق بگ عالی سفلی,قشلاق بگ عالی سفلی,352,39.4124448,48.0071706
18336,قشلاق بگ عالی وسطی,قشلاق بگ عالی وسطی,352,39.409364,47.9952718
18337,قشلاق شاه خانم حاج قدیر,قشلاق شاه خانم حاج قدیر,516,39.4000592,47.7564496
18338,قشلاق نریمان حاجی هاوار,قشلاق نریمان حاجی هاوار,352,39.4153969,48.0448399
18339,بوزچه سفلی,بوزچه سفلی,694,39.3891555,47.4430085
18340,قارشقا تپه سی سفلی,قارشقا تپه سی سفلی,694,39.392743,47.4578999
18341,قشلاق الاپاپاخ,قشلاق الاپاپاخ,694,39.3986692,47.5350375
18342,قشلاق قره دره اسمخان صفرکندی,قشلاق قره دره اسمخان صفرکندی,352,39.4208168,47.9433326
18343,قشلاق احمدی,قشلاق احمدی,694,39.3995546,47.5025745
18344,قشلاق حاجی حسین آقارنجبر,قشلاق حاجی حسین آقارنجبر,352,39.425695,48.0457845
18345,قشلاق حاج طالب,قشلاق حاج طالب,694,39.4108,47.571471
18346,قشلاق بدروآقامعلی,قشلاق بدروآقامعلی,516,39.4252291,47.8201963
18347,قره دره اسم خان تهراج,قره دره اسم خان تهراج,352,39.4333425,47.9452772
18348,قشلاق حاجی غلام,قشلاق حاجی غلام,694,39.4163518,47.5742786
18349,قشلاق اسماعیل خان جلیل,قشلاق اسماعیل خان جلیل,352,39.443312,48.0478987
18350,قشلاق ملانقی غلام,قشلاق ملانقی غلام,516,39.4280342,47.8185564
18351,قره دره اسم خان خان کیشی,قره دره اسم خان خان کیشی,352,39.4375749,47.9482448
18352,قشلاق اصغر,قشلاق اصغر,352,39.450014,48.1594157
18353,قشلاق سلیمان علی گشاد,قشلاق سلیمان علی گشاد,352,39.4471245,48.0511988
18354,قشلاق ملانقی حاجی باباخان,قشلاق ملانقی حاجی باباخان,516,39.4355456,47.8202779
18355,قشلاق قره تپه ملک لر,قشلاق قره تپه ملک لر,516,39.4326508,47.6972058
18356,قشلاق حاجی حیدر,قشلاق حاجی حیدر,352,39.459091,48.1608803
18357,قشلاق حکم علی صفر,قشلاق حکم علی صفر,516,39.4402841,47.7724109
18358,قشلاق سلیمان اکبر,قشلاق سلیمان اکبر,352,39.4501516,48.0577277
18359,قره قباق اژدربیگلو,قره قباق اژدربیگلو,694,39.4178281,47.3892554
18360,قشلاق قره دره اسم خان اسد,قشلاق قره دره اسم خان اسد,352,39.445338,47.9489918
18361,پلنگلو,پلنگلو,694,39.4227259,47.4310325
18362,قشلاق قره دره کهل قشلاق فرصت,قشلاق قره دره کهل قشلاق فرصت,352,39.4519669,47.9625283
18363,قشلاق حاج آقاقلی,قشلاق حاج آقاقلی,694,39.4336157,47.5866508
18364,قشلاق حاجی بایندر,قشلاق حاجی بایندر,694,39.4356051,47.573187
18365,قشلاق قارقلی رحیم طالبی,قشلاق قارقلی رحیم طالبی,352,39.4563871,47.9831558
18366,قشلاق حاجی سواد,قشلاق حاجی سواد,352,39.4621259,48.1581865
18367,عیوض لو,عیوض لو,694,39.4313148,47.4248181
18368,قشلاق ملانقی آقام اوغلان,قشلاق ملانقی آقام اوغلان,516,39.4467818,47.8171731
18369,قشلاق قره دره حاجی غیش,قشلاق قره دره حاجی غیش,352,39.4660309,47.9959118
18370,قشلاق آقداش بگلر,قشلاق آقداش بگلر,516,39.4649448,47.838994
18371,قشلاق حاج حیدرفرمان,قشلاق حاج حیدرفرمان,516,39.4644874,47.7590365
18372,حاج حسین قشلاق,حاج حسین قشلاق,694,39.4618638,47.4680453
18373,باغشلو کندی,باغشلو کندی,694,39.4625895,47.4366517
18374,خانلر قشلاقی حاج بالا بیگ لو,خانلر قشلاقی حاج بالا بیگ لو,694,39.4706609,47.5071546
18375,مقصودلوی وسطی,مقصودلوی وسطی,694,39.4708458,47.4821738
18376,مقصودلوی سفلی,مقصودلوی سفلی,694,39.4757565,47.4835663
18377,قشلاق حاجی سلطان,قشلاق حاجی سلطان,352,39.5056302,48.1805998
18378,تیمور کندی,تیمور کندی,694,39.4837299,47.5830718
18379,قشلاق حاجی نصی,قشلاق حاجی نصی,694,39.4835945,47.5605313
18380,آق قباق علیا,آق قباق علیا,694,39.4921996,47.5223077
18381,حاج امیر کندی,حاج امیر کندی,694,39.493614,47.5312914
18382,قشلاق حاج شیرین ارشد,قشلاق حاج شیرین ارشد,516,39.5036787,47.7795011
18383,گوردیگل نورالدین,گوردیگل نورالدین,352,39.5318775,48.1269589
18384,حاجی ایمان کندی علیا,حاجی ایمان کندی علیا,516,39.506084,47.6904009
18385,اسماعیل کندی,اسماعیل کندی,32,39.531602,47.9007169
18386,ابراهیم کندی سفلی,ابراهیم کندی سفلی,516,39.5287703,47.7959355
18387,سرخای بیگلو,سرخای بیگلو,694,39.5178293,47.5723722
18388,ابراهیم کندی علیا,ابراهیم کندی علیا,516,39.5309954,47.7748304
18389,اوزن تپه علیا,اوزن تپه علیا,516,39.5260371,47.6067168
18390,هزارکندی,هزارکندی,516,39.5342498,47.6381386
18391,رحیم کندی,رحیم کندی,516,39.5364121,47.6278654
18392,اوزن تپه سفلی,اوزن تپه سفلی,516,39.5348663,47.6108379
18393,خلیل کندی,خلیل کندی,516,39.5547509,47.6377973
18394,اوزون قوئی دو,اوزون قوئی دو,32,39.5929079,48.0585219
18395,حاجی جعفر کندی,حاجی جعفر کندی,32,39.6469057,48.0389571
18396,عربلو کندی,عربلو کندی,32,39.6650414,47.9489287
18397,اورتلو,اورتلو,32,39.682786,48.0316765
18398,پتلی کند,پتلی کند,32,39.6820979,47.9783467
18399,سنجانک,سنجانک,3,36.2819806,49.7462545
18400,خاکینه بالا,خاکینه بالا,663,36.6133574,49.441151
18401,آبیک سفلی,آبیک سفلی,8,36.0539712,50.552908
18402,قشلاق امین آباد,قشلاق امین آباد,69,35.7955441,50.0258899
18403,محمدآبادخره,محمدآبادخره,125,36.0219278,50.0707339
18404,رضی آباد,رضی آباد,125,36.049546,50.1849297
18405,حسین آباد,حسین آباد,9,36.0725066,50.2212397
18406,وندر,وندر,676,36.1871039,50.3895061
18407,ده دوشاب,Deh Dushab,3,36.5700708,50.1259485
18408,شیشه قلعه,شیشه قلعه,125,36.0001688,49.9816345
18409,نوده لکوان,نوده لکوان,86,36.0203673,49.9287948
18410,بک کندی,بک کندی,86,36.389294,49.5730937
18411,اسدآباد خورین,اسدآباد خورین,3,36.4054891,49.663688
18412,سفیده کش,سفیده کش,3,36.3865408,49.9195719
18413,سبزک,سبزک,576,35.6179613,49.510937
18414,محمودآباد,محمودآباد,576,35.8363376,49.071877
18415,اروان,اروان,156,35.6158859,49.1686767
18416,یوزباشی چای,Yuzbash-chai,663,36.3956636,49.4853525
18417,زرند,زرند,663,36.4812734,49.1421042
18418,کلج,Kallaj,663,36.7065298,49.2588187
18419,سیاه پوش,سیاه پوش,663,36.680336,49.3482061
18420,اسماعیل آباد,اسماعیل آباد,576,35.7641579,48.9229304
18421,مشهد,مشهد,576,35.7901186,48.9267913
18422,الوندی,الوندی,663,36.4616066,49.5174586
18423,زرین خانی,زرین خانی,663,36.5884299,49.5778159
18424,اوانک,اوانک,676,36.3746427,50.7300922
18425,خوزنان,Khoznan,676,36.1199205,50.5560052
18426,پاپلی وسطی,پاپلی وسطی,69,35.9652194,50.088872
18427,قشلاق مرانلو,قشلاق مرانلو,69,35.9232534,50.0723161
